Link|Title|File Size
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Adso%20Chinese-English%20Phonetic%20and%20Definitions%20Dictionary.7z|Adso Chinese-English Phonetic and Definitions Dictionary|4.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Adso%20Chinese-English%20Phonetic%20and%20Definitions%20Dictionary%20(MDX).7z|Adso Chinese-English Phonetic and Definitions Dictionary (MDX)|6.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Advanced%20Chinese%20Dictionary%20(Zh-En).7z|Advanced Chinese Dictionary (Zh-En)|5.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Advanced%20Chinese-English%20Dictionary%20(Zh-En)%202.2-GD.zip|Advanced Chinese-English Dictionary (Zh-En) 2.2-GD|8.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Anatomy%20Diagrams%20(Ch-En)%20(MDX).7z|Anatomy Diagrams (Ch-En) (MDX)|3.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=AnimCJK%20%5BZH-EN%5D%20(MDX).zip|AnimCJK [ZH-EN] (MDX)|11.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Astronomy%20Terms%202019%20(En-Ch%2C%20Ch-En)%20(MDX).7z|Astronomy Terms 2019 (En-Ch, Ch-En) (MDX)|1.1 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Cambridge%20Advanced%20English-Chinese%20and%20Chinese-English%20Dictionary%20(Online%20Version)%20(MDX).zip|Cambridge Advanced English-Chinese and Chinese-English Dictionary (Online Version) (MDX)|8 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=CC-Canto%20(Ch-En)%20(MDX).7z|CC-Canto (Ch-En) (MDX)|3.2 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20(S)%20-%20English%20Glossary%20of%20Legal%20Terms.7z|Chinese (S) - English Glossary of Legal Terms|310 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20Buddhist%20Terms%20(Ch-En).7z|Chinese Buddhist Terms (Ch-En)|3.1 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20Idioms%20and%20there%20English%20Equivalents%20(Ch-En)%20(MDX).zip|Chinese Idioms and there English Equivalents (Ch-En) (MDX)|940 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20Idioms%20Explained%20in%20English%20(Ch-En)%20(BGL).7z|Chinese Idioms Explained in English (Ch-En) (BGL)|100 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20Phonetics%20(Ch-En)%20(BGL).7z|Chinese Phonetics (Ch-En) (BGL)|104 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese%20Top%20Words%20%26%20Etymology%20(Zh-En)%20(MDX).zip|Chinese Top Words & Etymology (Zh-En) (MDX)|8.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20512%20Patent%20Dictionary.7z|Chinese-English 512 Patent Dictionary|3.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Agricultural%20Nouns.7z|Chinese-English Agricultural Nouns|171 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Architecture%20Dictionary.7z|Chinese-English Architecture Dictionary|2.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Astronomical%20Terms.7z|Chinese-English Astronomical Terms|142 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Automation%20Nouns.7z|Chinese-English Automation Nouns|51 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Automobile%20Dictionary.7z|Chinese-English Automobile Dictionary|756 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Aviation%20Dictionary.7z|Chinese-English Aviation Dictionary|1.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Biochemical%20Terms.7z|Chinese-English Biochemical Terms|63 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Biophysical%20Terms.7z|Chinese-English Biophysical Terms|23 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Botanical%20Terms.7z|Chinese-English Botanical Terms|84 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Broadcasting%20Dictionary.7z|Chinese-English Broadcasting Dictionary|731 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Business%20Dictionary.7z|Chinese-English Business Dictionary|2.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Chemical%20Engineering%20Terms.7z|Chinese-English Chemical Engineering Terms|61 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Chemical%20Terms.7z|Chinese-English Chemical Terms|263 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Coal%20Science%20and%20Technology%20Terms.7z|Chinese-English Coal Science and Technology Terms|261 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Computer%20Dictionary.7z|Chinese-English Computer Dictionary|5.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Computer%20Nouns.7z|Chinese-English Computer Nouns|238 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(3rd%20ed.)%20(MDX).zip|Chinese-English Dictionary (3rd ed.) (MDX)|24.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(Ideographs).7z|Chinese-English Dictionary (Ideographs)|1.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(T)%20Traditional%20Chinese%20Version.7z|Chinese-English Dictionary (T) Traditional Chinese Version|254 KB
